uma,中項目,小項目(辞書版出来ました),"追加したい項目は追加希望シートに記載ください,調べたい物は,検索シートが便利です",,大項目,34,中項目,
キャラ,原神,バーバラ,"barbara (genshin impact) ,blonde short hair,twintails,wavy hair,white dress,ribbon,tube top,{{frills}},blue eyes,{{loli}},small breasts,cocktail hat,frill choker,chest riboon,long sleeves,smile",",",,,,
キャラ,原神,モナ,"genshin, mona (genshin impact),black hair,green eyes,light twin tail,black tights,{small breasts},{short girl},blue clothes,witch hat,straight bangs",",",,,,
キャラ,原神,煙緋,yanfei (genshin impact),",",,,,
キャラ,原神,甘雨,ganyu (genshin impact),",",,,,
キャラ,原神,凝光(顔以外不安定),"ningguang (genshin impact), white hair,white and yellow cloth,red eyes,{{black long glove}}",",",,,,
キャラ,原神,蛍(原神),"lumine (genshin impact),armpits,blonde hair ,brown eyes,hair flower,long sleeves,white dress,short hair",",",,,,
キャラ,原神,胡桃,"{{{{hu tao genshin impact}}}},an extremely delicate and beautiful girl,twintails,{black hair},red eyes eyes,shorts,black jacket,leather shoes,white short socks,flower shaped pupils",",",,,,
キャラ,原神,刻晴,"light purple hair,cone hair bun,keqing (genshin impact),brown tights,light purple eyes,deep purple gloves,twintails",",",,,,
キャラ,原神,申鶴,shenhe (genshin impact),",",,,,
キャラ,原神,神里綾華,"{kamisato ayaka}},genshin impact,blue eyes,ponytail,white hair",",",,,,
キャラ,原神,八重巫女,"yae miko, purple eyes",",",,,,
キャラ,原神,雷電将軍,"raiden shogun,genshin impact, purple eyes, purple hair, bangs, long hair",",",,,,
キャラ,灼眼のシャナ,シャナ,"shana, shakugan no shana, red eyes, red hair,ahoge,loli,",",",,,,
キャラ,東方,だいちゃん,"daiyousei, side ponytail, green hair, blue dress, white shirt, yellow ribbon, yellow ascot, fairy wings",",",,,,
キャラ,東方,古明地こいし,komeiji koishi,",",,,,
キャラ,東方,魂魄妖夢,konpaku youmu,",",,,,
キャラ,東方,博麗霊夢,hakurei reimu,",",,,,
キャラ,東方,八雲紫,yakumo yukari,",",,,,
キャラ,東方,霧雨魔理沙,kirisame marisa,",",,,,
キャラ,東方,霊烏路空,reiuji utsuho,",",,,,
キャラ,不思議の国のアリス,不思議の国のアリス,alice in wonderland,",",,,,
キャラ,無職転生,ロキシー,"roxy migurdia, teenage, {loli}, blue eyes, blue hair, twin braids, crossed bangs, black ribbon, small breasts, brown cloak, white jacket, black skirt, short skirt, witch hat, black headwear, sketch, holding staff, ice crystal",",",,,,
キャラ,遊戯王,ブラック・マジシャン・ガール,dark magician girl,",",,,,
シチュ,イベント,ウェディング,wedding,",",,,,
シチュ,イベント,クリスマス,christmas,",",,,,
シチュ,イベント,デート,hang out,",",,,,
シチュ,イベント,バレンタイン,valentine,",",,,,
シチュ,イベント,ハロウィン,halloween,",",,,,
シチュ,シチュ,カード遊び,playing card,",",,,,
シチュ,シチュ,カップル,couple,",",,,,
シチュ,シチュ,キス,kiss,",",,,,
シチュ,シチュ,くすぐられる,"tickled, {laughing}, loud, [tears],",",",,,,
シチュ,シチュ,シーツで隠れている,under covers,",",,,,
シチュ,シチュ,スカイダイビング,skydiving,",",,,,
シチュ,シチュ,ディープキス,french kiss,",",,,,
シチュ,シチュ,バトルシーン,battle scene,",",,,,
シチュ,シチュ,パンチラ,pantyshot,",",,,,
シチュ,シチュ,パンティーを見せる,panties aside,",",,,,
シチュ,シチュ,メテオストライク,meteor strike,",",,,,
シチュ,シチュ,押し倒される,"{{{background room ceiling}}},{{{shadows on the face}}},{{open arms for viewer}},leaning forward,{{hug}},open mouth,girl on top,straddling,pov,overlook",",",,,,
シチュ,シチュ,押し倒される(背景なし),"{{open arms for viewer}},leaning forward,{{hug}},open mouth,girl on top,straddling,pov,overlook",",",,,,
シチュ,シチュ,押し倒し,"dakimakura (medium), arms up, only upper body",",",,,,
シチュ,シチュ,丸のみ,accepting without reservation,",",,,,
シチュ,シチュ,顔を向かい合わせ,face to face,",",,,,
シチュ,シチュ,顔を向かい合わせ2,heads together,",",,,,
シチュ,シチュ,緊縛,bound,",",,,,
シチュ,シチュ,空に向けて手を広げる,open arms to sky,",",,,,
